row_index,category,firstname,id,motivation,prize_index,share,surname,year
18,medicine,Yoshinori,927,"""for his discoveries of mechanisms for autophagy""",0,1,Ohsumi,2016
19,literature,Bob,937,"""for having created new poetic expressions within the great American song tradition""",0,1,Dylan,2016
20,peace,Juan Manuel,934,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",0,1,Santos,2016
21,economics,Oliver,935,"""for their contributions to contract theory""",0,2,Hart,2016
22,economics,Bengt,936,"""for their contributions to contract theory""",1,2,Holmström,2016
23,physics,Takaaki,919,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",0,2,Kajita,2015
24,physics,Arthur B.,920,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",1,2,McDonald,2015
25,chemistry,Tomas,921,"""for mechanistic studies of DNA repair""",0,3,Lindahl,2015
26,chemistry,Paul,922,"""for mechanistic studies of DNA repair""",1,3,Modrich,2015
27,chemistry,Aziz,923,"""for mechanistic studies of DNA repair""",2,3,Sancar,2015
28,medicine,William C.,916,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",0,4,Campbell,2015
29,medicine,Satoshi,917,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",1,4,Ōmura,2015
30,medicine,Youyou,918,"""for her discoveries concerning a novel therapy against Malaria""",2,2,Tu,2015
31,literature,Svetlana,924,"""for her polyphonic writings, a monument to suffering and courage in our time""",0,1,Alexievich,2015
32,peace,National Dialogue Quartet,925,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",0,1,,2015
33,economics,Angus,926,"""for his analysis of consumption, poverty, and welfare""",0,1,Deaton,2015
34,physics,Isamu,906,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",0,3,Akasaki,2014
35,physics,Hiroshi,907,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",1,3,Amano,2014
36,physics,Shuji,908,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2,3,Nakamura,2014
37,chemistry,Eric,909,"""for the development of super-resolved fluorescence microscopy""",0,3,Betzig,2014
38,chemistry,Stefan W.,910,"""for the development of super-resolved fluorescence microscopy""",1,3,Hell,2014
39,chemistry,William E.,911,"""for the development of super-resolved fluorescence microscopy""",2,3,Moerner,2014
40,medicine,John,903,"""for their discoveries of cells that constitute a positioning system in the brain""",0,2,O'Keefe,2014
41,medicine,May-Britt,904,"""for their discoveries of cells that constitute a positioning system in the brain""",1,4,Moser,2014
42,medicine,Edvard I.,905,"""for their discoveries of cells that constitute a positioning system in the brain""",2,4,Moser,2014
43,literature,Patrick,912,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",0,1,Modiano,2014
44,peace,Kailash,913,"""for their struggle against the suppression of children and young people and for the right of all children to education""",0,2,Satyarthi,2014
45,peace,Malala,914,"""for their struggle against the suppression of children and young people and for the right of all children to education""",1,2,Yousafzai,2014
46,economics,Jean,915,"""for his analysis of market power and regulation""",0,1,Tirole,2014
47,physics,François,887,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",0,2,Englert,2013
48,physics,Peter W.,888,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",1,2,Higgs,2013
49,chemistry,Martin,889,"""for the development of multiscale models for complex chemical systems""",0,3,Karplus,2013
50,chemistry,Michael,890,"""for the development of multiscale models for complex chemical systems""",1,3,Levitt,2013
51,chemistry,Arieh,891,"""for the development of multiscale models for complex chemical systems""",2,3,Warshel,2013
52,medicine,James E.,884,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",0,3,Rothman,2013
53,medicine,Randy W.,885,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",1,3,Schekman,2013
54,medicine,Thomas C.,886,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2,3,Südhof,2013
55,literature,Alice,892,"""master of the contemporary short story""",0,1,Munro,2013
56,peace,Organisation for the Prohibition of Chemical Weapons (OPCW),893,"""for its extensive efforts to eliminate chemical weapons""",0,1,,2013
57,economics,Eugene F.,894,"""for their empirical analysis of asset prices""",0,3,Fama,2013
58,economics,Lars Peter,895,"""for their empirical analysis of asset prices""",1,3,Hansen,2013
59,economics,Robert J.,896,"""for their empirical analysis of asset prices""",2,3,Shiller,2013
60,physics,Serge,876,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",0,2,Haroche,2012
61,physics,David J.,877,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",1,2,Wineland,2012
62,chemistry,Robert J.,878,"""for studies of G-protein-coupled receptors""",0,2,Lefkowitz,2012
63,chemistry,Brian K.,879,"""for studies of G-protein-coupled receptors""",1,2,Kobilka,2012
64,medicine,Sir John B.,874,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",0,2,Gurdon,2012
65,medicine,Shinya,875,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",1,2,Yamanaka,2012
66,literature,Mo,880,"""who with hallucinatory realism merges folk tales, history and the contemporary""",0,1,Yan,2012
67,peace,European Union (EU),881,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",0,1,,2012
68,economics,Alvin E.,882,"""for the theory of stable allocations and the practice of market design""",0,2,Roth,2012
69,economics,Lloyd S.,883,"""for the theory of stable allocations and the practice of market design""",1,2,Shapley,2012
70,physics,Saul,864,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",0,2,Perlmutter,2011
71,physics,Brian P.,865,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",1,4,Schmidt,2011
72,physics,Adam G.,866,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2,4,Riess,2011
73,chemistry,Dan,867,"""for the discovery of quasicrystals""",0,1,Shechtman,2011
74,medicine,Bruce A.,861,"""for their discoveries concerning the activation of innate immunity""",0,4,Beutler,2011
75,medicine,Jules A.,862,"""for their discoveries concerning the activation of innate immunity""",1,4,Hoffmann,2011
76,medicine,Ralph M.,863,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2,2,Steinman,2011
77,literature,Tomas,868,"""because, through his condensed, translucent images, he gives us fresh access to reality""",0,1,Tranströmer,2011
78,peace,Ellen,869,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",0,3,Johnson Sirleaf,2011
79,peace,Leymah,870,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",1,3,Gbowee,2011
80,peace,Tawakkol,871,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",2,3,Karman,2011
81,economics,Thomas J.,872,"""for their empirical research on cause and effect in the macroeconomy""",0,2,Sargent,2011
82,economics,Christopher A.,873,"""for their empirical research on cause and effect in the macroeconomy""",1,2,Sims,2011
83,physics,Andre,849,"""for groundbreaking experiments regarding the two-dimensional material graphene""",0,2,Geim,2010
84,physics,Konstantin,850,"""for groundbreaking experiments regarding the two-dimensional material graphene""",1,2,Novoselov,2010
85,chemistry,Richard F.,851,"""for palladium-catalyzed cross couplings in organic synthesis""",0,3,Heck,2010
86,chemistry,Ei-ichi,852,"""for palladium-catalyzed cross couplings in organic synthesis""",1,3,Negishi,2010
87,chemistry,Akira,853,"""for palladium-catalyzed cross couplings in organic synthesis""",2,3,Suzuki,2010
88,medicine,Robert G.,848,"""for the development of in vitro fertilization""",0,1,Edwards,2010
89,literature,Mario,854,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",0,1,Vargas Llosa,2010
90,peace,Liu,855,"""for his long and non-violent struggle for fundamental human rights in China""",0,1,Xiaobo,2010
91,economics,Peter A.,856,"""for their analysis of markets with search frictions""",0,3,Diamond,2010
92,economics,Dale T.,857,"""for their analysis of markets with search frictions""",1,3,Mortensen,2010
93,economics,Christopher A.,858,"""for their analysis of markets with search frictions""",2,3,Pissarides,2010
94,physics,Charles Kuen,838,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",0,2,Kao,2009
95,physics,Willard S.,839,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",1,4,Boyle,2009
96,physics,George E.,840,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",2,4,Smith,2009
97,chemistry,Venkatraman,841,"""for studies of the structure and function of the ribosome""",0,3,Ramakrishnan,2009
98,chemistry,Thomas A.,842,"""for studies of the structure and function of the ribosome""",1,3,Steitz,2009
99,chemistry,Ada E.,843,"""for studies of the structure and function of the ribosome""",2,3,Yonath,2009
100,medicine,Elizabeth H.,835,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",0,3,Blackburn,2009
101,medicine,Carol W.,836,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",1,3,Greider,2009
102,medicine,Jack W.,837,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",2,3,Szostak,2009
103,literature,Herta,844,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",0,1,Müller,2009
104,peace,Barack H.,845,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",0,1,Obama,2009
105,economics,Elinor,846,"""for her analysis of economic governance, especially the commons""",0,2,Ostrom,2009
106,economics,Oliver E.,847,"""for his analysis of economic governance, especially the boundaries of the firm""",1,2,Williamson,2009
107,physics,Yoichiro,826,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",0,2,Nambu,2008
108,physics,Makoto,827,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",1,4,Kobayashi,2008
109,physics,Toshihide,828,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",2,4,Maskawa,2008
110,chemistry,Osamu,829,"""for the discovery and development of the green fluorescent protein, GFP""",0,3,Shimomura,2008
111,chemistry,Martin,830,"""for the discovery and development of the green fluorescent protein, GFP""",1,3,Chalfie,2008
112,chemistry,Roger Y.,831,"""for the discovery and development of the green fluorescent protein, GFP""",2,3,Tsien,2008
113,medicine,Harald,823,"""for his discovery of human papilloma viruses causing cervical cancer""",0,2,zur Hausen,2008
114,medicine,Françoise,824,"""for their discovery of human immunodeficiency virus""",1,4,Barré-Sinoussi,2008
115,medicine,Luc,825,"""for their discovery of human immunodeficiency virus""",2,4,Montagnier,2008
116,literature,Jean-Marie Gustave,832,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",0,1,Le Clézio,2008
117,peace,Martti,833,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",0,1,Ahtisaari,2008
118,economics,Paul,834,"""for his analysis of trade patterns and location of economic activity""",0,1,Krugman,2008
119,physics,Albert,814,"""for the discovery of Giant Magnetoresistance""",0,2,Fert,2007
120,physics,Peter,815,"""for the discovery of Giant Magnetoresistance""",1,2,Grünberg,2007
121,chemistry,Gerhard,816,"""for his studies of chemical processes on solid surfaces""",0,1,Ertl,2007
122,medicine,Mario R.,811,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",0,3,Capecchi,2007
123,medicine,Sir Martin J.,812,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",1,3,Evans,2007
124,medicine,Oliver,813,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",2,3,Smithies,2007
125,literature,Doris,817,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",0,1,Lessing,2007
126,peace,Intergovernmental Panel on Climate Change (IPCC),818,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",0,2,,2007
127,peace,Albert Arnold (Al),819,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",1,2,Gore Jr.,2007
128,economics,Leonid,820,"""for having laid the foundations of mechanism design theory""",0,3,Hurwicz,2007
129,economics,Eric S.,821,"""for having laid the foundations of mechanism design theory""",1,3,Maskin,2007
130,economics,Roger B.,822,"""for having laid the foundations of mechanism design theory""",2,3,Myerson,2007
131,physics,John C.,804,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",0,2,Mather,2006
132,physics,George F.,805,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",1,2,Smoot,2006
133,chemistry,Roger D.,806,"""for his studies of the molecular basis of eukaryotic transcription""",0,1,Kornberg,2006
134,medicine,Andrew Z.,802,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",0,2,Fire,2006
135,medicine,Craig C.,803,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",1,2,Mello,2006
136,literature,Orhan,808,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",0,1,Pamuk,2006
137,peace,Muhammad,809,"""for their efforts to create economic and social development from below""",0,2,Yunus,2006
138,peace,Grameen Bank,810,"""for their efforts to create economic and social development from below""",1,2,,2006
139,economics,Edmund S.,807,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",0,1,Phelps,2006
140,physics,Roy J.,791,"""for his contribution to the quantum theory of optical coherence""",0,2,Glauber,2005
141,physics,John L.,792,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",1,4,Hall,2005
142,physics,Theodor W.,793,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",2,4,Hänsch,2005
143,chemistry,Yves,794,"""for the development of the metathesis method in organic synthesis""",0,3,Chauvin,2005
144,chemistry,Robert H.,795,"""for the development of the metathesis method in organic synthesis""",1,3,Grubbs,2005
145,chemistry,Richard R.,796,"""for the development of the metathesis method in organic synthesis""",2,3,Schrock,2005
146,medicine,Barry J.,789,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",0,2,Marshall,2005
147,medicine,J. Robin,790,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",1,2,Warren,2005
148,literature,Harold,801,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",0,1,Pinter,2005
149,peace,International Atomic Energy Agency (IAEA),797,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",0,2,,2005
150,peace,Mohamed,798,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",1,2,ElBaradei,2005
151,economics,Robert J.,799,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",0,2,Aumann,2005
152,economics,Thomas C.,800,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",1,2,Schelling,2005
153,physics,David J.,776,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",0,3,Gross,2004
154,physics,H. David,777,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",1,3,Politzer,2004
155,physics,Frank,778,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",2,3,Wilczek,2004
156,chemistry,Aaron,779,"""for the discovery of ubiquitin-mediated protein degradation""",0,3,Ciechanover,2004
157,chemistry,Avram,780,"""for the discovery of ubiquitin-mediated protein degradation""",1,3,Hershko,2004
158,chemistry,Irwin,781,"""for the discovery of ubiquitin-mediated protein degradation""",2,3,Rose,2004
159,medicine,Richard,774,"""for their discoveries of odorant receptors and the organization of the olfactory system""",0,2,Axel,2004
160,medicine,Linda B.,775,"""for their discoveries of odorant receptors and the organization of the olfactory system""",1,2,Buck,2004
161,literature,Elfriede,782,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",0,1,Jelinek,2004
162,peace,Wangari Muta,783,"""for her contribution to sustainable development, democracy and peace""",0,1,Maathai,2004
163,economics,Finn E.,786,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",0,2,Kydland,2004
164,economics,Edward C.,787,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",1,2,Prescott,2004
165,physics,Alexei A.,766,"""for pioneering contributions to the theory of superconductors and superfluids""",0,3,Abrikosov,2003
166,physics,Vitaly L.,767,"""for pioneering contributions to the theory of superconductors and superfluids""",1,3,Ginzburg,2003
167,physics,Anthony J.,768,"""for pioneering contributions to the theory of superconductors and superfluids""",2,3,Leggett,2003
168,chemistry,Peter,769,"""for the discovery of water channels""",0,2,Agre,2003
169,chemistry,Roderick,770,"""for structural and mechanistic studies of ion channels""",1,2,MacKinnon,2003
170,medicine,Paul C.,764,"""for their discoveries concerning magnetic resonance imaging""",0,2,Lauterbur,2003
171,medicine,Sir Peter,765,"""for their discoveries concerning magnetic resonance imaging""",1,2,Mansfield,2003
172,literature,John M.,763,"""who in innumerable guises portrays the surprising involvement of the outsider""",0,1,Coetzee,2003
173,peace,Shirin,773,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",0,1,Ebadi,2003
174,economics,Robert F.,771,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",0,2,Engle III,2003
175,economics,Clive W.J.,772,"""for methods of analyzing economic time series with common trends (cointegration)""",1,2,Granger,2003
176,physics,Raymond,753,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",0,4,Davis Jr.,2002
177,physics,Masatoshi,754,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",1,4,Koshiba,2002
178,physics,Riccardo,755,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",2,2,Giacconi,2002
179,chemistry,John B.,756,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",0,4,Fenn,2002
180,chemistry,Koichi,757,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",1,4,Tanaka,2002
181,chemistry,Kurt,758,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2,2,Wüthrich,2002
182,medicine,Sydney,750,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",0,3,Brenner,2002
183,medicine,H. Robert,751,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",1,3,Horvitz,2002
184,medicine,John E.,752,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",2,3,Sulston,2002
185,literature,Imre,761,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",0,1,Kertész,2002
186,peace,Jimmy,762,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",0,1,Carter,2002
187,economics,Daniel,759,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",0,2,Kahneman,2002
188,economics,Vernon L.,760,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",1,2,Smith,2002
189,physics,Eric A.,738,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",0,3,Cornell,2001
190,physics,Wolfgang,739,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",1,3,Ketterle,2001
191,physics,Carl E.,740,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",2,3,Wieman,2001
192,chemistry,William S.,741,"""for their work on chirally catalysed hydrogenation reactions""",0,4,Knowles,2001
193,chemistry,Ryoji,742,"""for their work on chirally catalysed hydrogenation reactions""",1,4,Noyori,2001
194,chemistry,K. Barry,743,"""for his work on chirally catalysed oxidation reactions""",2,2,Sharpless,2001
195,medicine,Leland H.,735,"""for their discoveries of key regulators of the cell cycle""",0,3,Hartwell,2001
196,medicine,Tim,736,"""for their discoveries of key regulators of the cell cycle""",1,3,Hunt,2001
197,medicine,Sir Paul M.,737,"""for their discoveries of key regulators of the cell cycle""",2,3,Nurse,2001
198,literature,Sir Vidiadhar Surajprasad,747,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",0,1,Naipaul,2001
199,peace,United Nations (U.N.),748,"""for their work for a better organized and more peaceful world""",0,2,,2001
200,peace,Kofi,749,"""for their work for a better organized and more peaceful world""",1,2,Annan,2001
201,economics,George A.,744,"""for their analyses of markets with asymmetric information""",0,3,Akerlof,2001
202,economics,A. Michael,745,"""for their analyses of markets with asymmetric information""",1,3,Spence,2001
203,economics,Joseph E.,746,"""for their analyses of markets with asymmetric information""",2,3,Stiglitz,2001
204,physics,Zhores I.,726,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",0,4,Alferov,2000
205,physics,Herbert,727,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",1,4,Kroemer,2000
206,physics,Jack S.,728,"""for his part in the invention of the integrated circuit""",2,2,Kilby,2000
207,chemistry,Alan J.,729,"""for the discovery and development of conductive polymers""",0,3,Heeger,2000
208,chemistry,Alan G.,730,"""for the discovery and development of conductive polymers""",1,3,MacDiarmid,2000
209,chemistry,Hideki,731,"""for the discovery and development of conductive polymers""",2,3,Shirakawa,2000
210,medicine,Arvid,722,"""for their discoveries concerning signal transduction in the nervous system""",0,3,Carlsson,2000
211,medicine,Paul,723,"""for their discoveries concerning signal transduction in the nervous system""",1,3,Greengard,2000
212,medicine,Eric R.,724,"""for their discoveries concerning signal transduction in the nervous system""",2,3,Kandel,2000
213,literature,Gao,734,"""for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",0,1,Xingjian,2000
214,peace,Kim,725,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",0,1,Dae-jung,2000
215,economics,James J.,732,"""for his development of theory and methods for analyzing selective samples""",0,2,Heckman,2000
216,economics,Daniel L.,733,"""for his development of theory and methods for analyzing discrete choice""",1,2,McFadden,2000
217,physics,Gerardus,158,"""for elucidating the quantum structure of electroweak interactions in physics""",0,2,'t Hooft,1999
218,physics,Martinus J.G.,159,"""for elucidating the quantum structure of electroweak interactions in physics""",1,2,Veltman,1999
219,chemistry,Ahmed H.,292,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",0,1,Zewail,1999
220,medicine,Günter,461,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",0,1,Blobel,1999
221,literature,Günter,676,"""whose frolicsome black fables portray the forgotten face of history""",0,1,Grass,1999
222,peace,Médecins Sans Frontières,568,"""in recognition of the organization's pioneering humanitarian work on several continents""",0,1,,1999
223,economics,Robert A.,720,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",0,1,Mundell,1999
224,physics,Robert B.,155,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",0,3,Laughlin,1998
225,physics,Horst L.,156,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1,3,Störmer,1998
226,physics,Daniel C.,157,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",2,3,Tsui,1998
227,chemistry,Walter,290,"""for his development of the density-functional theory""",0,2,Kohn,1998
228,chemistry,John A.,291,"""for his development of computational methods in quantum chemistry""",1,2,Pople,1998
229,medicine,Robert F.,458,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",0,3,Furchgott,1998
230,medicine,Louis J.,459,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1,3,Ignarro,1998
231,medicine,Ferid,460,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",2,3,Murad,1998
232,literature,José,675,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",0,1,Saramago,1998
233,peace,John,566,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",0,2,Hume,1998
234,peace,David,567,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",1,2,Trimble,1998
235,economics,Amartya,719,"""for his contributions to welfare economics""",0,1,Sen,1998
236,physics,Steven,152,"""for development of methods to cool and trap atoms with laser light""",0,3,Chu,1997
237,physics,Claude,153,"""for development of methods to cool and trap atoms with laser light""",1,3,Cohen-Tannoudji,1997
238,physics,William D.,154,"""for development of methods to cool and trap atoms with laser light""",2,3,Phillips,1997
239,chemistry,Paul D.,287,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",0,4,Boyer,1997
240,chemistry,John E.,288,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",1,4,Walker,1997
241,chemistry,Jens C.,289,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",2,2,Skou,1997
242,medicine,Stanley B.,457,"""for his discovery of Prions - a new biological principle of infection""",0,1,Prusiner,1997
243,literature,Dario,674,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",0,1,Fo,1997
244,peace,International Campaign to Ban Landmines (ICBL),564,"""for their work for the banning and clearing of anti-personnel mines""",0,2,,1997
245,peace,Jody,565,"""for their work for the banning and clearing of anti-personnel mines""",1,2,Williams,1997
246,economics,Robert C.,717,"""for a new method to determine the value of derivatives""",0,2,Merton,1997
247,economics,Myron S.,718,"""for a new method to determine the value of derivatives""",1,2,Scholes,1997
248,physics,David M.,149,"""for their discovery of superfluidity in helium-3""",0,3,Lee,1996
249,physics,Douglas D.,150,"""for their discovery of superfluidity in helium-3""",1,3,Osheroff,1996
250,physics,Robert C.,151,"""for their discovery of superfluidity in helium-3""",2,3,Richardson,1996
